处理时间,账号,文件名,文件类型,源文件路径,目标文件夹,文件大小,处理状态,触发方式,备注
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202410\.WeDrive,,63,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)BillDetails202410.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202410\TEMU(Broke n Happy)BillDetails202410.xlsx,,377695,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)发货面单费202410.xlsx,raw data fulfillment cost,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202410\TEMU(Broke n Happy)发货面单费202410.xlsx,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\raw data fulfillment cost,32681,成功 (1/1),定期扫描,
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)订单明细202410.xlsx,raw data order details,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202410\TEMU(Broke n Happy)订单明细202410.xlsx,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\raw data order details,310066,成功 (1/1),定期扫描,
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202411\.WeDrive,,63,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)BillDetails202411.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202411\TEMU(Broke n Happy)BillDetails202411.xlsx,,118967,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)发货面单费202411.xlsx,raw data fulfillment cost,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202411\TEMU(Broke n Happy)发货面单费202411.xlsx,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\raw data fulfillment cost,151423,成功 (1/1),定期扫描,
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)订单明细202411.csv,raw data order details,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202411\TEMU(Broke n Happy)订单明细202411.csv,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\raw data order details,140648,成功 (1/1),定期扫描,
2025-10-22 12:31:46,Broke n Happy account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202412\.WeDrive,,63,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:46,Broke n Happy account,TEMU(Broke n Happy)BillDetails202412.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Broke n Happy account\2024\202412\TEMU(Broke n Happy)BillDetails202412.xlsx,,281509,跳过,定期扫描,未匹配到文件类型规则
